Category,State,Incidents,Victims
Children,Andaman & Nicobar Islands,3315.0,3402.0
Children,Andhra Pradesh,52266.0,54402.0
Children,Arunachal Pradesh,3104.0,3365.0
Children,Assam,134521.0,142379.0
Children,Bihar,165841.0,173128.0
Children,Chandigarh,5082.0,5584.0
Children,Chhattisgarh,131792.0,137070.0
Children,Dadra & Nagar Haveli and Daman & Diu,2378.0,2413.0
Children,Delhi (UT),171129.0,185676.0
Children,Goa,2887.0,3173.0
Children,Gujarat,103994.0,108098.0
Children,Haryana,115677.0,121409.0
Children,Himachal Pradesh,13816.0,14282.0
Children,Jammu & Kashmir,17127.0,17862.0
Children,Jharkhand,37898.0,38493.0
Children,Karnataka,160374.0,173098.0
Children,Kerala,101566.0,108212.0
Children,Ladakh,47.0,52.0
Children,Lakshadweep,381.0,381.0
Children,Madhya Pradesh,437321.0,454894.0
Children,Maharashtra,437190.0,452867.0
Children,Manipur,2932.0,3022.0
Children,Meghalaya,10796.0,11220.0
Children,Mizoram,3043.0,3263.0
Children,Nagaland,991.0,1097.0
Children,Odisha,186242.0,186989.0
Children,Puducherry,2512.0,2570.0
Children,Punjab,50941.0,52612.0
Children,Rajasthan,165780.0,173664.0
Children,Sikkim,3576.0,4049.0
Children,Tamil Nadu,122943.0,131635.0
Children,Telangana,118673.0,124001.0
Children,Tripura,6084.0,6186.0
Children,Uttar Pradesh,388961.0,399040.0
Children,Uttarakhand,29467.0,30437.0
Children,West Bengal,207275.0,211649.0
Human Traficking,Andaman & Nicobar Islands,8.0,
Human Traficking,Andhra Pradesh,20427.0,
Human Traficking,Arunachal Pradesh,516.0,
Human Traficking,Assam,17697.0,
Human Traficking,Bihar,21400.0,
Human Traficking,Chandigarh,210.0,
Human Traficking,Chhattisgarh,7546.0,
Human Traficking,Dadra & Nagar Haveli and Daman & Diu,20.0,
Human Traficking,Delhi (UT),28700.0,
Human Traficking,Goa,1972.0,
Human Traficking,Gujarat,1788.0,
Human Traficking,Haryana,2456.0,
Human Traficking,Himachal Pradesh,906.0,
Human Traficking,Jammu & Kashmir,756.0,
Human Traficking,Jharkhand,13760.0,
Human Traficking,Karnataka,4320.0,
Human Traficking,Kerala,12620.0,
Human Traficking,Ladakh,0.0,
Human Traficking,Lakshadweep,0.0,
Human Traficking,Madhya Pradesh,9586.0,
Human Traficking,Maharashtra,56068.0,
Human Traficking,Manipur,2304.0,
Human Traficking,Meghalaya,462.0,
Human Traficking,Mizoram,540.0,
Human Traficking,Nagaland,200.0,
Human Traficking,Odisha,78325.0,
Human Traficking,Puducherry,368.0,
Human Traficking,Punjab,2880.0,
Human Traficking,Rajasthan,27260.0,
Human Traficking,Sikkim,88.0,
Human Traficking,Tamil Nadu,2403.0,
Human Traficking,Telangana,29513.0,
Human Traficking,Tripura,743.0,
Human Traficking,Uttar Pradesh,9988.0,
Human Traficking,Uttarakhand,1636.0,
Human Traficking,West Bengal,8167.0,
Juvenile,Andaman & Nicobar Islands,3321.9,
Juvenile,Andhra Pradesh,62388.4,
Juvenile,Arunachal Pradesh,2724.5,
Juvenile,Assam,12979.6,
Juvenile,Bihar,83376.0,
Juvenile,Chandigarh,7546.7,
Juvenile,Chhattisgarh,154178.4,
Juvenile,Dadra & Nagar Haveli and Daman & Diu,2302.9,
Juvenile,Delhi (UT),193276.2,
Juvenile,Goa,2763.0,
Juvenile,Gujarat,128217.2,
Juvenile,Haryana,98279.8,
Juvenile,Himachal Pradesh,13830.4,
Juvenile,Jammu & Kashmir,24335.5,
Juvenile,Jharkhand,6480.9,
Juvenile,Karnataka,40728.9,
Juvenile,Kerala,30291.3,
Juvenile,Ladakh,0.0,
Juvenile,Lakshadweep,119.0,
Juvenile,Madhya Pradesh,374049.4,
Juvenile,Maharashtra,369111.3,
Juvenile,Manipur,2047.0,
Juvenile,Meghalaya,5761.0,
Juvenile,Mizoram,2112.0,
Juvenile,Nagaland,903.2,
Juvenile,Odisha,72186.9,
Juvenile,Puducherry,27663.6,
Juvenile,Punjab,25065.9,
Juvenile,Rajasthan,180587.2,
Juvenile,Sikkim,1205.8,
Juvenile,Tamil Nadu,204436.2,
Juvenile,Telangana,83667.6,
Juvenile,Tripura,2298.0,
Juvenile,Uttar Pradesh,93651.3,
Juvenile,Uttarakhand,7258.2,
Juvenile,West Bengal,52188.7,
Women,Andaman & Nicobar Islands,3431.0,3286.0
Women,Andhra Pradesh,343674.0,335750.0
Women,Arunachal Pradesh,7347.0,6434.0
Women,Assam,488729.0,472834.0
Women,Bihar,386966.0,377085.0
Women,Chandigarh,8388.0,7096.0
Women,Chhattisgarh,164895.0,149144.0
Women,Dadra & Nagar Haveli and Daman & Diu,1888.0,1856.0
Women,Delhi (UT),259109.0,244498.0
Women,Goa,6236.0,5635.0
Women,Gujarat,153576.0,146058.0
Women,Haryana,309385.0,286297.0
Women,Himachal Pradesh,37262.0,32064.0
Women,Jammu & Kashmir,75743.0,72105.0
Women,Jharkhand,167463.0,147145.0
Women,Karnataka,288386.0,304445.0
Women,Kerala,253795.0,241207.0
Women,Ladakh,257.0,237.0
Women,Lakshadweep,382.0,366.0
Women,Madhya Pradesh,595349.0,558318.0
Women,Maharashtra,769211.0,744323.0
Women,Manipur,5773.0,5525.0
Women,Meghalaya,13647.0,13109.0
Women,Mizoram,4016.0,3664.0
Women,Nagaland,1076.0,1059.0
Women,Odisha,545614.0,530265.0
Women,Puducherry,2882.0,2832.0
Women,Punjab,117027.0,108736.0
Women,Rajasthan,822302.0,734091.0
Women,Sikkim,2783.0,2744.0
Women,Tamil Nadu,155628.0,156353.0
Women,Telangana,372017.0,365107.0
Women,Tripura,16715.0,15732.0
Women,Uttar Pradesh,1119588.0,1087295.0
Women,Uttarakhand,67968.0,61819.0
Women,West Bengal,612337.0,604404.0
